,Company,Location,Salary,Summary,Title,Job Category,City,State Code,ZIP,Area
837,PeoplesBank,"Holyoke, MA 01040",Not available,"As a direct report to the Business Intelligence Manager (BIM), the Business Intelligence Junior Data Analyst will be responsible for validating data, executing...",Business Intelligence Junior Data Analyst,Data Analyst,Holyoke,MA,01040,
838,Oregon Health & Science University,"Portland, OR",$29.09 - $39.95 an hour,"Job Title Business Intelligence Analyst (System Application Analyst, Entry). Prior work as a reporting, software development, data or business intelligence...","Business Intelligence Analyst (System Application Analyst, E...",Business Intelligence Analyst,Portland,OR,,
839,KSM Consulting,"Indianapolis, IN 46240",Not available,You will work with business analysts to translate business requirements into data models for visualization deployment....,Business Intelligence Developer,Business Intelligence Analyst,Indianapolis,IN,46240,
840,Retail Business Services,"Carlisle, PA",Not available,"2-3 years' experience in data analytics type role with knowledge of Business Intelligence platforms. Also, responsible for performing data analytics to identify...",Analyst I Business Planning & Analytics,Analytics,Carlisle,PA,,
841,Northrop Grumman,"Fort Leavenworth, KS 66027",Not available,Candidate should have recent Army Intelligence experience. The Military Intelligence Analyst collects and manages data pertaining to military warfighting...,OG B Military Intelligence Analyst,Other,Fort Leavenworth,KS,66027,
842,AlphaSense,"New York, NY",Not available,"The Market Intelligence Analyst has strong organizational skills and a honed ability to uncover actionable, data-driven insights....",Market Intelligence Analyst,Other,New York,NY,,
843,Toast,"Boston, MA",Not available,The (Sr) Business Intelligence Manager will play an integral role in our budding Data Science and Business Intelligence group....,(Sr.) Business Intelligence Manager,Business Intelligence Analyst,Boston,MA,,
844,New York City HOUSING PRESERVATION & DVLPMNT,"New York, NY","$85,000 - $95,000 a year","Oracle Business Intelligence Dashboards, Reporting Design and Development:. Experience using Business Intelligence (BI) Publisher, and with BI applications....",Business Intelligence Developer,Business Intelligence Analyst,New York,NY,,
845,Wesco International,"Carol Stream, IL",Not available,The Business Intelligence Analyst will work hand in hand with business groups to better understand business needs and opportunities to leverage analytics to...,Business Intelligence Analyst,Business Intelligence Analyst,Carol Stream,IL,,
846,NGUSoft,"Fremont, CA",Not available,"Recommend ways to organize data to achieve the desired business outcome. Design, develop, automate, compile, and prepare reports, self-service tools, ad-hoc...",Business Intelligence Analyst,Business Intelligence Analyst,Fremont,CA,,
847,Ford Motor Company,"Dearborn, MI 48126",Not available,Data Analyst will make recommendations for alternative ways to bring data to life to solve business problems....,Data Analyst,Data Analyst,Dearborn,MI,48126,
848,Aspect Consulting,"King of Prussia, PA 19406",Not available,"The Business Intelligence Analyst reports directly to the Assistant Registrar for Student Information Systems and Analytics, and works closely with the Systems...",BI Analyst,Other,King of Prussia,PA,19406,
849,John Hancock,"Boston, MA",Not available,"Reporting to the Director, Business Intelligence, the Business Analyst - Reporting is responsible for designing business intelligence and reporting solutions...",Reporting Analyst,Other,Boston,MA,,
850,Amazon.com,"Goodyear, AZ",Not available,We are looking for a talented Business Intelligence Engineer (BIE) who can help optimize analytical best practices to measure Amazon’s incident life-cycle...,"Business Intelligence Engineer, GSOC (Non-Tech)",Business Intelligence Analyst,Goodyear,AZ,,
851,The Ohio State University,"Columbus, OH",Not available,"This IT Intermediate BI Administrator/Developer position (Data Engineer) will help realize the design and build ETL, ELT, and other data movement processes for...",Int Data Movement/ETLDeveloper,Other,Columbus,OH,,
852,CSL Behring,"King of Prussia, PA",Not available,"CSL Behring, a leading global biopharmaceutical company, is looking for a full-time Senior Business Analyst – Business Intelligence, who will be responsible for...",Senior Business Intelligence Analyst - QlikView & QlikSense,Business Intelligence Analyst,King of Prussia,PA,,
853,BDO,"Grand Rapids, MI",Not available,"Proficient in the use of Business Intelligence Reporting Tools (i.e. OneStream, Hyperion, COGNOS, Business Objects), preferred....",Financial Systems Analyst II (Business Intelligence),Business Intelligence Analyst,Grand Rapids,MI,,
854,General Dynamics Information Technology,"Suffolk, VA 23435",Not available,"Simulates tasking, reporting, and dissemination of intelligence from national intelligence collection assets. Validate the intelligence modeling and simulation...","Intelligence Analyst - Suffolk, VA - TS",Other,Suffolk,VA,23435,
855,Raymour and Flanigan,"Liverpool, NY 13090",Not available,Business Intelligence Data Analyst. Development experience with Business Intelligence tools like:. Partner with stakeholders to define data and Business...,Business Intelligence Data Analyst,Data Analyst,Liverpool,NY,13090,
856,Equifax,"West Des Moines, IA 50266",Not available,"Oracle Business Intelligence Enterprise Edition (OBIEE), Spotfire , and/or Tableau with JavaScript expertise, etc....",Business Reporting Analyst,Business Analyst,West Des Moines,IA,50266,
857,Vectra Bank,"Denver, CO 80218 (Central East Denver area)",Not available,"Business Intelligence Analyst - Denver, CO or Las Vegas, NV ( Job Number:. Zions Bancorporation is seeking a Business Intelligence Analyst for our Enterprise...",Business Intelligence Analyst,Business Intelligence Analyst,Denver,CO,80218,(Central East Denver area)
858,MGM Resorts International,"Las Vegas, NV",Not available,Partners with Business Intelligence team to productionalize and build appropriate change control and monitoring processes for analytical product and/or...,Senior Analyst – Advanced Analytics (Corporate),Analytics,Las Vegas,NV,,
859,South Jersey Industries,"Atlantic City, NJ",Not available,"Bachelor’s Degree in quantitative, business or computer-related field. We take pride in recruiting the best talent available for every facet of our business....",Metrics & Reporting Analyst,Other,Atlantic City,NJ,,
860,Schneider National,"Green Bay, WI 54313",Not available,"Business Reporting Analyst - Job Number:. Business Intelligence software, advanced working knowledge of MS Access, Excel, and Power Point....",Business Reporting Analyst,Business Analyst,Green Bay,WI,54313,
861,Getaround,"San Francisco, CA 94107 (South Of Market area)",Not available,"As a Business Analyst on the Business Intelligence team, you will have a unique opportunity to work closely with and impact every team at Getaround, including...",Business Analyst,Business Analyst,San Francisco,CA,94107,(South Of Market area)
862,Bitly,"San Francisco, CA",Not available,"3-5 years of analytical experience in business intelligence, sales or business operations, management consulting, investment banking, or corporate strategy....",SENIOR STRATEGY ANALYST,Other,San Francisco,CA,,
863,Uber,"Seattle, WA 98101 (Downtown area)",Not available,Provide written Threat Intelligence briefs to executives and business leaders. Produce threat intelligence and threat indicator feeds through intelligence...,Senior Threat Intelligence Analyst,Other,Seattle,WA,98101,(Downtown area)
864,SAIC,"Fort Polk South, LA",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Polk...",Other,Fort Polk South,LA,,
865,Remitly,"Seattle, WA",Not available,We are looking for an analyst to join the Business Analytics team and manage marketing acquisition performance....,Business Analyst,Business Analyst,Seattle,WA,,
866,UPMC,"Pittsburgh, PA 15205",Not available,Predict future inventory needs and provide business intelligence to upper management. Responsible for developing and maintaining target inventory levels by SKU...,Inventory Analyst,Other,Pittsburgh,PA,15205,
867,Chimes International LTD,"Baltimore, MD 21215 (Pimlico area)",Not available,The Business Intelligence (BI) Analyst serves as a key role in implementing new business intelligence strategies to support Chimes....,Business Intelligence Analyst,Business Intelligence Analyst,Baltimore,MD,21215,(Pimlico area)
868,William Paterson University of New Jersey,"Wayne, NJ 07470",Not available,Develop solutions using University applications and data sources by using advanced knowledge of data warehousing and business intelligence concepts....,Data Analyst,Data Analyst,Wayne,NJ,07470,
869,Meredith Corporation,"New York, NY 10017 (Midtown area)",Not available,Sr Business Analyst. The business intelligence team seeks an analyst to specialize on our owned and operated digital brands....,Sr Business Analyst,Business Analyst,New York,NY,10017,(Midtown area)
870,Red Ventures,"Charlotte, NC",Not available,"Collaborate closely with all areas of the business (Product, SEO, Performance Marketing, Business Development, Social, Email, Sales, Marketing, Finance, Display...",BI Analyst,Other,Charlotte,NC,,
871,Cardinal Holdings,"Concord, NC 28027",Not available,The Business Intelligence Engineers are responsible for turning data into critical information and knowledge that can be used to make sound business decisions....,Business Intelligence Engineer,Business Intelligence Analyst,Concord,NC,28027,
872,Vanguard,"Malvern, PA 19355",Not available,"As a Business Intelligence Manager you will lead a team of analysts, developers and solutions leads that produce business intelligence for Vanguard’s...",Senior Business Intelligence Manager,Business Intelligence Analyst,Malvern,PA,19355,
873,Sawdey Solution Services,"Hālawa, HI",Not available,"Certified as a Small Disadvantaged Business. Based in Dayton, Ohio since 2001, Sawdey Solution Services is a Woman Owned/Service-Disabled Veteran-Owned Small...","Intelligence Analyst_Camp H.M.Smith, HI",Other,Hālawa,HI,,
874,HigherEducation.com,"Houston, TX","$80,000 a year","Adaptability & business acumen are critical, and the candidate will need to be open and willing to adjust focus areas as the needs of the business shift....",Data Analyst,Data Analyst,Houston,TX,,
875,Texperts,"Vienna, VA",Not available,Looking for a Business Intelligence Analyst to support operations and planning. Ability to manage complex business processes....,BI Analyst,Other,Vienna,VA,,
876,Cision US,"Jersey City, NJ",Not available,"Business Intelligence/Competitive Intelligence. Bulletin Intelligence, Remote- U.S. Bulletin Intelligence and Cision are Equal Opportunity Employers....",Analyst,Other,Jersey City,NJ,,
877,Pricesenz,"Denver, CO",Not available,Optimize business intelligence including query development and data analysis. Exceptional analytical skill and business acumen....,Business Analyst I,Business Analyst,Denver,CO,,
878,OCHIN,"Portland, OR",Not available,OCHIN is currently looking for a talented Business Intelligence Analyst to join our team! The Business Intelligence Analyst supports the mission of OCHIN by...,Business Intelligence Analyst,Business Intelligence Analyst,Portland,OR,,
879,MedImpact Healthcare Systems,"San Diego, CA",Not available,The Business Intelligence (BI) Data Analyst I is responsible for developing an in-depth understanding of the underlying data and proper business uses to...,Business Intelligence Analyst I,Business Intelligence Analyst,San Diego,CA,,
880,GEICO,"Chevy Chase, MD",Not available,"Business casual dress. Bachelor’s degree in Data Analytics, Math, Business or related field. As a Data Analyst you will contribute by identifying new...",Data Analyst,Data Analyst,Chevy Chase,MD,,
881,CUNA Mutual Group,"Madison, WI 53705",Not available,"Business Data Modeling, Reporting, & Business Intelligence. Business Domain Analysis. Understanding of applicable business concepts, processes, and systems for...",Analytics Analyst ll,Analytics,Madison,WI,53705,
882,10x Genomics,"Pleasanton, CA 94566",Not available,"Business Intelligence and Reporting Analyst / Senior Analyst. We are seeking an experienced, collaborative and results-oriented individual to join our 10X team...",Business Intelligence & Reporting Analyst / Senior Analyst,Business Intelligence Analyst,Pleasanton,CA,94566,
883,Avamere Health Services,"Wilsonville, OR 97070",Not available,"Business Intelligence Developer; The Business Intelligece Developer is core to the success and growth of Business Intelligence at Avamere, driving adoption of...",Business Intelligence Developer; Office of Strategic Insight...,Business Intelligence Analyst,Wilsonville,OR,97070,
884,The Coca-Cola Company,"Atlanta, GA 30301 (Buckhead area)",Not available,Business Intelligence (BI) tools. IT business system analysis/integration. Experience translating between business and IT concepts and teams....,Process and Performance Analyst,Other,Atlanta,GA,30301,(Buckhead area)
885,Bank of the West,"San Francisco, CA",Not available,"Partner with product and business managers to establish, capture and monitor metrics to track business results....",Sr Business Intelligence Analyst,Business Intelligence Analyst,San Francisco,CA,,
886,Obsidian Solutions Group,"Arlington, VA",Not available,Intelligence Analyst I (TOG) Part Time. Produce current crisis and term intelligence assessments on international security issues....,Intelligence Analyst I (TOG) Part Time,Other,Arlington,VA,,
887,Life Work Search,"Evansville, IN",Not available,Lead the business intelligence tool implementation; Identify and collect business intelligence data to help make strategic decisions;...,BI Analyst,Other,Evansville,IN,,
888,Bank of America,"Charlotte, NC 28255 (Wilmore area)",Not available,"Good understanding of data gathering tools, proficient with business intelligence reporting tools, 5+ years of experience....",Client Reporting Senior Analyst,Other,Charlotte,NC,28255,(Wilmore area)
889,MachineZone,"Palo Alto, CA",Not available,Educate your fellow analysts on how to apply statistical rigor to their analyses and business recommendations....,"Senior Game Analyst, Business Intelligence/Inference",Business Intelligence Analyst,Palo Alto,CA,,
890,City of Philadelphia,"Philadelphia, PA 19107 (City Center East area)",Not available,"Apply strong technical skills, business intelligence, and a full understanding of the needs of the customer into all project documentation....",Business Analyst,Business Analyst,Philadelphia,PA,19107,(City Center East area)
891,CoBank,"Denver, CO",Not available,"Bachelor's degree in business administration, computer science, business intelligence or relevant discipline. Intermediate experience with analytic and business...",Senior Business Analyst,Business Analyst,Denver,CO,,
892,Daymon Interactions,"Austin, TX 78703",Not available,Business Intelligence Analyst I. You will be part of a high performance team responsible for delivering customized reporting solutions and providing business...,Business Intelligence Analyst I,Business Intelligence Analyst,Austin,TX,78703,
893,The Bloc,"New York, NY 10003 (Greenwich Village area)",Not available,"The business intelligence analyst role is a multi-faceted and driven analytics lead that is passionate about technology, customer experience, and data....",Business Intelligence Analyst,Business Intelligence Analyst,New York,NY,10003,(Greenwich Village area)
894,Analogic,"Peabody, MA 01960",Not available,Business Intelligence Analyst with publication of standardized reports to business stakeholders. BK Medical is looking for a CRM Analyst/ BI to join the...,CRM/ BI Analyst,Other,Peabody,MA,01960,
895,Chipotle,"Newport Beach, CA 92660",Not available,"Analyst, Senior Business Intelligence. The Senior Business Intelligence Analyst (Sr. 5+ years of relevant experience in a business intelligence role, including...","Analyst, Senior Business Intelligence",Business Intelligence Analyst,Newport Beach,CA,92660,
896,RBC,"Jersey City, NJ",Not available,Manage a team of system and business analysts. Work with business partners and IT teams to understand the current business processes and anticipate impacts of...,Program Director - TSDA Projects,Management,Jersey City,NJ,,
897,QUICK SERVICES LLC,United States,Not available,Accesses and performs research on designated automated intelligence. Proficient in utilizing basic computer applications and intelligence related....,Mid Tactical Intelligence Analyst,Other,United States,,,
898,Trianz,"Chicago, IL",Not available,Business Intelligence Analyst – Sales & Marketing. Serve as a back-up to the Business Intelligence Senior Analyst....,Business Intelligence Analyst,Business Intelligence Analyst,Chicago,IL,,
899,Oceaneering,"Houston, TX 77041",Not available,The data analyst will provide high quality analysis and development of data and information solutions for MIP. Work closely with data scientist and develop high...,Data Analyst,Data Analyst,Houston,TX,77041,
900,TriWest Healthcare Alliance,"Phoenix, AZ",Not available,Advanced knowledge of Business Intelligence tools (e.g. 3 - 5 years experience in a Business Analyst or data analysis role....,Business Intelligence Analyst,Business Intelligence Analyst,Phoenix,AZ,,
901,Nintendo of America Inc.,"Redmond, WA",Not available,"Provides expertise in working with existing team (contract and FTEs) to create business intelligence stored procedures and reports, including design,...",Sr. Data Analyst,Data Analyst,Redmond,WA,,
902,University of Utah,"Salt Lake City, UT","$73,000 - $77,000 a year",Utilize Business Intelligence tools to identify trends and possible outliers. Utilize Business Intelligence tools to provide strategic financial analysis to...,Business Data Analyst,Data Analyst,Salt Lake City,UT,,
903,Sharks Sports & Entertainment,"San Jose, CA",Not available,"Business Intelligence Analyst, Ticketing. Vice President of Business Intelligence. Work with the Ticketing department and other internal departments, understand...","Business Intelligence Analyst, Ticketing",Business Intelligence Analyst,San Jose,CA,,
904,Optoro,"Washington, DC",Not available,The Business Intelligence Analyst helps the team achieve its goals by being a subject matter expert on the companies data assets and distilling best practices...,Business Intelligence Analyst,Business Intelligence Analyst,Washington,DC,,
905,Fareportal Inc.,"New York, NY 10020 (Midtown area)",Not available,Business Intelligence Analyst to extract and present meaningful data in order to understand trends in our business and drive opportunities to enhance and grow...,Sr. Business Intelligence Analyst,Business Intelligence Analyst,New York,NY,10020,(Midtown area)
906,BTAS,"San Antonio, TX",Not available,"Intelligence Analyst, Mid-Level. 10 years’ experience as an Intelligence Analyst, Cyber or Signals Intelligence (SIGINT) focus....",Intelligence Analyst,Other,San Antonio,TX,,
907,"Essilor of America, Inc.","Dallas, TX",Not available,"We currently have a Business Intelligence Analyst career opportunity at our Dallas, TX location. Experience in a Global data analysis or business intelligence...",Business Intelligence Analyst,Business Intelligence Analyst,Dallas,TX,,
908,Penn State University,"University Park, PA",Not available,The Financial Planning and Operations organization in Penn State Enterprise IT/Strategic Operations is seeking a highly motivated individual with a proven...,Data Analyst,Data Analyst,University Park,PA,,
909,"Navistar, Inc.","Lisle, IL",Not available,Business Intelligence Data Analyst. The Business Intelligence Data Analyst will be heavily involved in the new sales and marketing campaign focused on Navistar...,Business Intelligence Data Analyst,Data Analyst,Lisle,IL,,
910,Dataminr,"New York, NY",Not available,You're an experienced and technical Senior Business Intelligence Analyst interested in applying your quantitative skills to challenging questions within a data...,Senior Business Intelligence Analyst,Business Intelligence Analyst,New York,NY,,
911,US Department of Energy,"Washington, DC 20004 (Downtown area)","$96,970 - $126,062 a year","Finished and raw intelligence reporting; As a Cyber Intelligence Research Specialist, you will:. Experience with providing timely and direct intelligence, cyber...",Intelligence Research Specialist (Cyber Pursuit Analyst),Research,Washington,DC,20004,(Downtown area)
912,Navy Exchange Service Command,"Virginia Beach, VA","$52,780 - $67,153 a year",COMPUTER SYSTEMS ANALYST (BUSINESS INTELLIGENCE). Serves as the systems analyst for Data Warehouse/Business Intelligence System software applications running on...,COMPUTER SYSTEMS ANALYST (BUSINESS INTELLIGENCE),Business Intelligence Analyst,Virginia Beach,VA,,
913,Federal Reserve Bank of Boston,"Boston, MA",Not available,Data Analyst – Research Department. The Federal Reserve Bank of Boston Research Department seeks a data analyst to join our team of information professionals....,Data Analyst,Data Analyst,Boston,MA,,
914,Thermo Fisher Scientific,"Pittsburgh, PA 15202",Not available,Experience with Business Intelligence (BI) tools. Comfortable in working with IT and business sponsors to ensure technical solutions meet business needs....,"Business Analyst, Sales Tools and Analytics",Analytics,Pittsburgh,PA,15202,
915,Ford Motor Company,"Palo Alto, CA",Not available,"High growth, technology management consulting, or business intelligence background preferred. As a Business Analyst, you will be involved in Ford’s initiatives...","Business Analyst – Data, Mobility Business Group",Data Analyst,Palo Alto,CA,,
916,San Francisco Bay Gourmet Coffee,"Lincoln, CA",Not available,"Stay abreast of industry trends surrounding business intelligence. Ultimately, you will enhance our business intelligence system to help us make better...",Business Intelligence/ Business Analyst,Business Intelligence Analyst,Lincoln,CA,,
917,Cardinal Financial,Remote,Not available,Hands-on leadership of the Business Intelligence team. 5+ years of successful business intelligence and/or data warehouse experience....,Manager of Business Intelligence,Business Intelligence Analyst,Remote,,,
918,Floyd Medical Center,"Rome, GA 30161",Not available,"The Business Intelligence Analyst will function as a liaison between business users, Information Technology, and the Planning Department....",Business Intelligence Analyst,Business Intelligence Analyst,Rome,GA,30161,
919,U.S. Army,"Fort Worth, TX 76132 (Wedgwood area)","$30,000 - $60,000 a year","\* Before Reading Below, This is NOT a Civilian position. This is an opportunity to serve in the Active Duty Army (Full-Time) \* Must have a GED, be a High...",Cryptologic Cyberspace Intelligence Analyst,Other,Fort Worth,TX,76132,(Wedgwood area)
920,Cigna,"Bloomfield, CT 06002",Not available,"In this role, you will oversee and support business intelligence applications, lead an operations team that offers internal business customers support and drive...",Business Intelligence and Reporting Director,Business Intelligence Analyst,Bloomfield,CT,06002,
921,National Football League,"New York, NY 10017 (Midtown area)",Not available,The Senior Intelligence Analyst will have primary responsibility for intelligence support and information dissemination to the leadership of the NFL....,Senior Intelligence Analyst,Other,New York,NY,10017,(Midtown area)
922,Nordstrom,"Seattle, WA",Not available,"As an integral part of a new Corporate Analytics team, the Senior Business Intelligence Analyst is responsible for collecting, analyzing and presenting data to...",Bus Intel Analyst Sr,Other,Seattle,WA,,
923,Holmes Murphy & Associates,"Waukee, IA",Not available,If this sounds like an awesome opportunity and you think you’re a perfect fit to join our team as a Business Intelligence Analyst in our Innovative Captive...,"BUSINESS INTELLIGENCE ANALYST, INNOVATIVE CAPTIVE STRATEGIES",Business Intelligence Analyst,Waukee,IA,,
924,Orlando Utilities Commission,"Orlando, FL","$88,272 - $115,858 a year","Business intelligence or analytics certifications are a plus (i.e., Certified Business Intelligence Professional (CBIP), or other recognized certification or...",Corporate Strategy Analyst,Other,Orlando,FL,,
925,GLS,"Charlotte, NC 28273 (Olde Whitehall area)",Not available,"Company Overview GLS, established in 1998, is a quickly-expanding managed service provider. The GLS Service Management Department works as advocates for our...",Reporting Analyst,Other,Charlotte,NC,28273,(Olde Whitehall area)
927,Abbott & Associates Professional Placement,"Portland, OR 97232 (Kerns area)",$51.53 an hour,"A major teaching hospital located in downtown Portland, OR is seeking a Business Intelligence Analyst. We are a Woman Business Enterprise and Emerging Small...",Business Intelligence Analyst,Business Intelligence Analyst,Portland,OR,97232,(Kerns area)
928,LGS Innovations LLC,"Dayton, OH 45390",Not available,Demonstrated knowledge of Military Intelligence. Under general supervision provide intelligence analysis. Support for multi-spectral exploitation and remote....,Multi-Spectral Intelligence Analyst,Other,Dayton,OH,45390,
929,The New York Times,"New York, NY 10036",Not available,"As the Data Analyst, you will play a key role in helping us understand our readers and informing the direction of our business by defining, monitoring and...",Data Analyst,Data Analyst,New York,NY,10036,
930,WatchGuard Technologies,"Seattle, WA 98104 (First Hill area)",Not available,"Business Operations Analyst. The Business Operations Analyst will report to the Director of Business Operations and work cross functionally with finance, sales,...",Business Operations Analyst,Business Analyst,Seattle,WA,98104,(First Hill area)
931,"MINDBODY, Inc","San Luis Obispo, CA 93401",Not available,The successful Business Intelligence Analyst II – Sales will enable analytic insights that inform and influence operational strategies and business decisions...,Business Intelligence Analyst II - Sales,Business Intelligence Analyst,San Luis Obispo,CA,93401,
932,Comcast,"Hamilton, OH 45011",Not available,"From small businesses to mid-market and large Enterprise organizations, Comcast Business serves business customers across the country....",Data Analyst,Data Analyst,Hamilton,OH,45011,
933,Great American Insurance Group,"Cincinnati, OH",Not available,Prior work experience in business intelligence type function a plus. Critical thinking skills and strong business acumen....,Market Intelligence Analyst,Other,Cincinnati,OH,,
934,Rasmussen Inc.,"Oak Brook, IL",Not available,Ad Hoc Analysis & Support (40%) – At the direction of the Manager Business Intelligence analyze and explore data sources....,Business Analyst,Business Analyst,Oak Brook,IL,,
935,Adobe,"Los Angeles, CA",Not available,"Use available tools (Google Analytics, AppDynamics, SQL, Magento Business Intelligence, etc.). Business & technical)....",eCommerce Strategy Consultant,Other,Los Angeles,CA,,
936,Novolex,"Covington, KY",Not available,"The Business Intelligence Analyst will develop, implement and maintain reporting and analytical intelligence needs;...",Business Intelligence Analyst,Business Intelligence Analyst,Covington,KY,,
937,Quality Bicycle Products Inc.,"Bloomington, MN",Not available,Currently studying Business Intelligence Economics Applied Statistics Business Administration or another relevant discipline....,Data Analyst Intern- Equity & Diversity Internship,Data Analyst,Bloomington,MN,,
938,Omnicell,"Cranberry Township, PA","$80,000 - $90,000 a year","Decision Support Analyst, Sales*. 4+ years of experience in business intelligence, data analytics, data science, computer science or related field....",Decision Support Analyst,Other,Cranberry Township,PA,,
939,Access Markets International Partners,"New York, NY",Not available,"Support business development activities. Analyze industry trends, conducting discussions for insights, interpreting data from AMl's extensive global primary...",Business Intelligence Analyst,Business Intelligence Analyst,New York,NY,,
940,CACI,"McLean, VA 22102",Not available,"Experience in MS Office suite, Analyst Notebook, and Intelligence Community Counterterrorism Databases. As a Watchlist Intelligence Analyst, you will receive,...",Intelligence Analyst 1,Other,McLean,VA,22102,
941,HD Supply,"Norcross, GA 30093",Not available,"+ Supports governance principles, policies, and stewardship within the business. HD Supply (NASDAQ:....",Senior Data Integrity Analyst - Business Intelligence,Data Analyst,Norcross,GA,30093,
942,Booz Allen Hamilton,"Buckley AFB, CO",Not available,"SIGINT Intelligence Analyst. Support operational performance evaluations and assessments of SIGINT collection, processing, and forwarding systems....",SIGINT Intelligence Analyst,Other,Buckley AFB,CO,,
943,Ideal Image,"Tampa, FL 33609 (Swann Estates area)",Not available,"The Senior Business Intelligence Analyst manages all aspects associated with data collection, aggregation, quality, use and reporting....",Senior Business Intelligence Analyst,Business Intelligence Analyst,Tampa,FL,33609,(Swann Estates area)
944,The Motorists Insurance Group,"Columbus, OH 43215 (Downtown area)",Not available,Work with business intelligence tools such as Tableau to help visualize data and turn it into an asset for business partners....,Analytics - Intern,Analytics,Columbus,OH,43215,(Downtown area)
945,Kirkland and Ellis,"New York, NY 10022 (Midtown area)",Not available,"The New York office is seeking a Business Development Coordinator to support the Firm’s corporate Practice Intelligence initiatives (M&A/Private Equity, Debt...",Business Development Coordinator (Practice Intelligence),Business Intelligence Analyst,New York,NY,10022,(Midtown area)
946,Quartet,"New York, NY 10018 (Clinton area)",Not available,Quartet is looking for a Business Intelligence (BI) Analyst who is excited to dive head-first into our data ecosystem to help solve problems across the business...,Business Intelligence Analyst,Business Intelligence Analyst,New York,NY,10018,(Clinton area)
947,Volvo Group,"Greensboro, NC 27409",Not available,"The ideal candidate will have an understanding and interest in business intelligence and reporting tools. Business testing of applications, data, rules, etc....",Intern: Sales Reporting Analyst (Summer 2019),Internship,Greensboro,NC,27409,
948,Luxottica Group,"Mason, OH 45040",Not available,"Analyze complex data, identify anomalies, and provide useable insight to business intelligence leaders. The Analyst, Business Data conducts detailed analyses of...",Business Data Analyst,Data Analyst,Mason,OH,45040,
949,Microsoft,"Redmond, WA",Not available,Strong business acumen. Interface with business users and engineering teams to bridge the gap in terms of data needs and business term/logic understanding....,Data Analyst,Data Analyst,Redmond,WA,,
950,Amazon.com,United States,Not available,"The Business Analyst will analyze large amounts of data, discover and solve real world problems; The Business Analyst will support site operations and...",CSNA Business Analyst,Business Analyst,United States,,,
951,Quench USA,"King of Prussia, PA 19406",Not available,"BA in Computer Science, Information Systems, Business Intelligence, or Business Logistics. We are seeking a Business Analyst. Strong business acumen....",Business Analyst (Service Operations),Business Analyst,King of Prussia,PA,19406,
952,HBR Consulting,"Chicago, IL 60605 (Near South Side area)",Not available,"MS SharePoint, Access, QlikView, or familiarity with Business Intelligence tools is a plus. The Strategic Sourcing & Business Operations (SSBO) practice...","Analyst, Business Performance and Analytics",Analytics,Chicago,IL,60605,(Near South Side area)
953,"National Technologies Associates, Inc.","Fort Meade, MD",Not available,"Signature Reduction Intelligence Analyst. Bachelor’s degree and/or 4 years of intelligence analyst experience, at a minimum....",Signature Reduction Intelligence Analyst,Other,Fort Meade,MD,,
954,Mary Washington Healthcare,"Fredericksburg, VA",Not available,The Analyst collaborates with business partners with defining and implementing complex decision support and business intelligence (BI) software solutions to...,Business Intel Analyst III,Business Analyst,Fredericksburg,VA,,
955,Shipt,"Birmingham, AL 35203",Not available,"Experience with a Business Intelligence tool is required (e.g., Chartio, Tableau). Experience with hypothesis testing in a business setting is a plus....",Product Analyst,Other,Birmingham,AL,35203,
956,MUFG,"Jersey City, NJ",Not available,"5+ years of Advanced knowledge in database design, analytics and Business Intelligence Reporting. Data Governance and Quality Analyst....","Sr Data Quality Analyst, Vice President",Data Analyst,Jersey City,NJ,,
957,Family & Children’s Services,"Tulsa, OK",Not available,Ensures that the use of Business Intelligence applications enhances business decision making capabilities across the agency....,"Manager, Business Intelligence",Business Intelligence Analyst,Tulsa,OK,,
958,SAIC,"Fort Bliss, TX",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Blis...",Other,Fort Bliss,TX,,
0,Confidential Contracting Company,"Quantico, VA","$72,000 - $80,000 a year","$72,000 - $80,000 a year


                            The candidate shall summarize data to streamline report processes, as well as possess the capability to shrink data into a workable format as requested....",Acquisition Data Analyst,Data Analyst,Quantico,VA,,
1,CEF Solutions Inc.,"Fort Lee, NJ 07024",Not available,"Perform status tracking, efficiency analysis, resource allocation, data analysis, change log management, and overall process management support....",Data Analyst,Data Analyst,Fort Lee,NJ,07024,
2,"SHEEX, Inc","Marlton, NJ 08053",Not available,"Collect, maintain, manage, interpret and analyze data received from internal and external data sources. The Marketing Data Analyst is primarily responsible for...",Marketing Data Analyst,Data Analyst,Marlton,NJ,08053,
3,Trinity Logistics,"Seaford, DE 19973",Not available,Business Intelligence Analyst. Data Modelling/Data Warehousing/Data Structures. Calling all analytical minds with a thirst for data and a programming skill set...,Business Intelligence Analyst,Business Intelligence Analyst,Seaford,DE,19973,
5,Rootliquids,"Jersey City, NJ","$68,000 - $72,000 a year",Analyze large sets of data and report findings to the team. We are looking for Recent Graduates for Entry Level Business Analyst Position....,Entry Level Business Analyst,Business Analyst,Jersey City,NJ,,
