,Company,Location,Salary,Summary,Title,Job Category
372,Volta Charging,"San Francisco, CA",Not available,"The Sales Intelligence Analyst will support the Media Sales Team in creating in-depth brand analysis, identifying brand alignments and opportunities....",Sales Intelligence Analyst,Other
379,SAIC,"Fort Drum, NY",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Drum...",Other
382,"MacAulay-Brown, Inc. (MacB)","San Antonio, TX",Not available,"(MacB), an Alion company, is looking for an IO Intelligence Analyst who will provide strategic and trans-regional/operational Information Operations...",IO Intelligence Analyst,Other
383,Information and Infrastructure Technologies,"Arlington, VA",Not available,Advanced intelligence discipline training; Ten (10) years of experience as an Army Intelligence analyst with experience from tactical to strategic....,Intelligence Analyst 3,Other
384,GS Consulting,"Fort Meade, MD",Not available,Conduct analysis using multiple intelligence collection methods to produce intelligence reports which will support assessments of threats and malicious activity...,Multi Source Intelligence Analyst,Other
389,Moffitt Cancer Center,"Tampa, FL 33612",Not available,"Business Intelligence – gathering, analyzing and reporting on industry business intelligence. O Business intelligence gathering and analysis....",INNOVATION ANALYST,Other
394,Blue Rock Consulting,"Whippany, NJ",Not available,"We are looking to hire an Analyst in our Advanced Analytics Department to focus on Business Intelligence in Whippany, NJ....",BI Analyst (NJ),Other
396,Kaplan,Remote,Not available,"Minimum 3 years of data science, business intelligence, or financial modeling and analysis. The Senior Analyst will apply advanced analytical skills like...",Senior Analyst,Other
398,Air Force Reserve,United States,Not available,Military intelligence involves the processing and converting of raw data from various sources into useable intelligence information....,All Source Intelligence Analyst,Other
401,SAIC,"Fort Stewart, GA",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Stew...",Other
403,FIS Global,"Secaucus, NJ",Not available,They help drive key client retention efforts and a variety of other metrics that inform business intelligence....,Reporting Analyst,Other
410,Qantas Airways Limited,"Los Angeles, CA 90045",Not available,Highly skilled in Excel and experience with business intelligence tools. Sales Performance Analyst. Commercially astute with a well-developed understanding of...,Sales Performance Analyst - North America,Other
415,New York City DEPT OF INFO TECH & TELECOMM,"Manhattan, NY","$75,000 - $130,000 a year",Push indicators to security defenses from NYC3’s Threat Intelligence Platform (TIP) and coordinating activity with defensive operators;...,Cyber Intelligence Analyst,Other
420,BOEING,"Quantico, VA",Not available,"All source analysis, full motion video (FMV) analysis, human intelligence (HUMINT), signals intelligence (SIGINT), imagery intelligence (IMINT), measurement and...",DOD Intelligence Analyst,Other
436,City Of Indianapolis and Marion County,Indiana,"$47,307 a year","Collects intelligence from a variety of sources to create usable and actionable intelligence information. Monitors all available sources of media, intelligence...",Intelligence Analyst,Other
437,General Dynamics Information Technology,"Orange, CA",Not available,"Successful completion of, or ability to complete, a recognized Federal Intelligence Analyst Course, DHS Basic Intelligence Threat Analysis Course (BITAC) or...",Senior Intelligence Analyst - Secret clearance preferred,Other
442,U.S. Army Annapolis,"Annapolis, MD 21401","$23,530 - $55,500 a year","Use intelligence data to anticipate and prevent organized crime activities, such as terrorism. Gather, analyze, or evaluate information from a variety of...",Intelligence Analyst,Other
446,Gavin de Becker & Associates,"Palo Alto, CA",Not available,"Working in collaboration with other Intelligence and Global Security professionals, the Intelligence Analyst (IA) is tasked with maintaining global situational...",Intelligence Analyst,Other
447,Integrity Applications Incorporated,"Fairfax, VA",Not available,Ten (10) years’ Intelligence Analyst experience related to the AOR. IAI is seeking an experienced Senior Intelligence Analyst Subject Matter Expert (SME) on the...,Intelligence Analyst (Near East),Other
448,SAIC,"Fort Meade, MD",Not available,SAIC is seeking a JFHQ Intelligence Analyst to work onsite with our customer at Ft. Preparation of intelligence requests for information;...,JFHQ Intelligence Analyst,Other
453,Speck Products,"San Mateo, CA 94402 (Beresford area)",Not available,"The Sales Analyst will manage and develop processes to ensure the sales team runs effectively, efficiently, and in line with key business objectives....",Sales Intelligence Analyst,Other
457,G4S,"Jupiter, FL 33458",Not available,"Correlate related data and produce strategic level consumable finished intelligence products summaries, and populate various databases, in the areas of risk,...",Intelligence Analyst,Other
462,Unisys,"Blue Bell, PA 19422",Not available,"Previous experience with any business intelligence tool would be beneficial (Cognos, crystal reports/business objects)....",Reporting Analyst | Home-Based / Virtual,Other
468,Smartronix,"Point Mugu, CA",Not available,The Intelligence Analyst will be responsible for interpreting parametric data from various intelligence sources and providing customer specific solutions....,Intelligence Analyst,Other
470,Occidental Petroleum,"Houston, TX",Not available,"Occidental is looking for an experienced and motivated individual to fill the position of Competitor Intelligence Analyst in Houston, TX....",Competitor Intelligence Analyst,Other
474,U.S. Bank,"Minneapolis, MN 55402 (Downtown West area)",Not available,Senior Competitive Intelligence Analyst-180045675. We are looking for a senior analyst to join the Investor Relations Team at US Bank....,Senior Competitive Intelligence Analyst,Other
482,Oregon Army National Guard,"Hillsboro, OR",Not available,"The intelligence analyst is primarily responsible for the analysis, processing and distribution of strategic and tactical intelligence....",35F Intelligence Analyst ($20K Bonus),Other
485,JBS USA Food Company,"Greeley, CO",Not available,"Experience using Business Objects. Leading Business Objects, Qlikview or other end user BI tool discussions with the business, evaluating new solutions, and...",BI FUNCTIONAL ANALYST,Other
487,Booz Allen Hamilton,"Quantico, VA",Not available,3+ years of experience as a military intelligence analyst. Experience with preparing and presenting intelligence assessments briefs....,Intelligence Analyst,Other
488,US Army,"Baltimore, MD 21201 (Downtown area)","$40,000 - $60,000 a year","Identifies, reports, and maintains Intelligence information in support of Commander's Intelligence Requirements and uses technical references to analyze...",Cryptologic Cyberspace Intelligence Collector/Analyst,Other
490,United States Armed Services- Army,"Brooksville, FL 34613","$20,000 - $30,000 a year","The intelligence analyst is primarily responsible for the analysis, processing and distribution of strategic and tactical intelligence....",Intelligence Analyst,Other
493,IHS Markit,"Raleigh, NC 27601 (Central area)",Not available,"As a Global Markets Intelligence (GMI) Analyst, you will have the opportunity to help drive the growth of a leading market surveillance services provider and...",Global Markets Intelligence Analyst,Other
495,Halfaker and Associates,"Arlington, VA",Not available,"Halfaker has an opening for an Intelligence Analyst (Watch Analyst) to join our talented, dynamic team. Intelligence analysis background....",Intelligence Analyst,Other
496,Telum Protection Corp,"Reston, VA",Not available,Intelligence analysis experience is defined as hands-on experience conducting real-world intelligence operations....,Intelligence Analyst (JAST),Other
501,JFrog,"Sunnyvale, CA",Not available,"Mentoring team members & business units as needed. Gather business requirements, specifications and develop reports and ad hoc models....",BI Analyst,Other
505,Radiance Technologies Inc.,"Dayton, OH 45431",Not available,"Knowledge of air component intelligence needs. The Multi-INT Integration Analyst will work in a fast-paced, team oriented environment, supporting and...",Multi-Intelligence Analyst,Other
506,Blue Sky Innovators,"Dayton, OH",Not available,"10+ years of experience with intelligence analysis. Lead Intelligence Community collection and production requirements, coordinating analysis & prioritizing...",Senior Intelligence Analyst,Other
508,BAE Systems,"McLean, VA 22102",Not available,"Understanding the basic intelligence cycle/process. About BAE Systems Intelligence & Security. BAE Systems Intelligence & Security, based in McLean, Virginia,...",Intelligence Video Analyst,Other
511,Sutter Health,"Sacramento, CA",Not available,"Particular focus on ambulatory and foundation based business intelligence. The Senior Strategic Intelligence Analyst reports directly to the Director, Valley...",Senior Strategic Intelligence Analyst,Other
519,TCecure LLC,"Baltimore, MD",Not available,"*Expertise: Counterintelligence, Supply Chain Risk Management (SCRM), Acquisitions Responsibilities:   Perform risk analysis focusing on critical...",Senior Counterintelligence/Intelligence Analyst,Other
520,Perspecta,"Bethesda, MD 20813",Not available,"Government customers in defense, intelligence, civilian, health care, and state and local markets. Assesses the believability of the information from the...",Intelligence Analyst,Other
522,Sonata Software,"Redmond, WA",Not available,"6+ experience in implementing applications built using Microsoft Business Intelligence tools. Designing, developing and maintaining business intelligence...",MS BI Analyst,Other
525,Keep Truckin,"San Francisco, CA",Not available,"As a Customer Intelligence Manager, you will have the opportunity to work with a variety of departments across multiple customer-facing and support roles....",Customer Intelligence Analyst,Other
527,Booz Allen Hamilton,"Washington, DC",Not available,Regional All-Source Intelligence Analyst. Knowledge of intelligence community finished intelligence production processes preferred....,Regional All-Source Intelligence Analyst,Other
532,Regional Health,"Rapid City, SD",Not available,CS Enterprise Intelligence. Undertake work requiring basic application of acquired business or operational skills and knowledge and principles of the business...,Enterprise Intelligence Analyst,Other
540,QUICK SERVICES LLC,"Fayetteville, NC 28307",Not available,"PAI Analyst are responsible for researching , developing , and presenting PAI intelligence products at the tactical and operational....","Mid- Publicly Available Information (PAI) ""OSINT"" Intelligen...",Other
545,Hackensack University Med Cntr,"Edison, NJ",Not available,Provide user education of business intelligence applications and help ensure access to data. The BI Analyst is responsible for the business intelligence...,BI Analyst,Other
549,Red Gate Group LTD,"Reston, VA 20191",Not available,"Intelligence Analyst (SOFST). As a SOF Intelligence Integrator, you will provide embedded and reach back support directly to SOF, developing intelligence...",Intelligence Analyst (SOFST),Other
551,DynCorp International LLC.,"Springfield, VA",Not available,"May serve as an All-Source Analyst or specialize in a more technical field of intelligence such as Imagery intelligence (IMINT), Signals intelligence (SIGINT),...",Intelligence Analyst Senior,Other
552,TopTal,United States,Not available,"As the Market Intelligence Analyst at Toptal, you will work as part of Toptal’s Business Operations team to plan the development of new lines of business....",Market Intelligence Analyst,Other
554,Ursus Incorporated,"Carlsbad, CA",Not available,"MandatoryPower BI Analyst. Power BI Analyst - 008385. As we discussed, it’s such a strength to be able to understand the impact of HR data on business problems...",Power BI Analyst - 008385,Other
555,MSI Universal,"Washington, DC",Not available,"This program supports, Special Advisors, Intelligence Analysts, Targeting Support, Counterintelligence (CI) Support, Human Intelligence (HUMINT) Collection and...",Senior Intelligence Analyst (#11052326),Other
556,SAIC,"Joint Base Lewis McChord, WA",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, JBLM WA",Other
561,Hackensack University Med Cntr,"Hackensack, NJ",Not available,Work with Business Intelligence group to incorporate changes in all budget reporting tools. Master's in Business Administration (MBA)....,Budget Analyst III,Other
565,General Dynamics Information Technology,"MacDill AFB, FL",Not available,Collects data using a combination of standard intelligence methods and business processes. Experience researching and writing intelligence reports....,Intelligence Analyst/Trainer - TS/SCI - MacDill AFB,Other
567,Booz Allen Hamilton,"Dayton, OH 45420",Not available,Space Intelligence Analyst. Experience with conducting all-source intelligence analysis. Analyze a variety of information and intelligence relevant to the...,Space Intelligence Analyst,Other
577,Regions Bank,"Birmingham, AL",Not available,Demonstrated ability to learn software/ business intelligence tools. At Regions the Incentive Analyst helps to administer corporate line of business incentive...,Incentive Analyst - TeamWorks,Other
579,colsa global group,"Huntsville, AL",Not available,"Familiarity with the Intelligence Cycle and intelligence analysis standards and tradecraft. COLSA Global Corp, a subsidiary of COLSA Corporation, is seeking...",Open Source Intelligence Analyst (Pashto),Other
582,MSI Universal,"McLean, VA",Not available,Mid-level Tactical Intelligence*. Proficient in utilizing standard computer applications and intelligence related automation to support analytical efforts and...,Tactical Intelligence Analyst,Other
583,BAE Systems,"Quantico, VA 22134",Not available,"Experienced in conducting research, creating intelligence products, intelligence estimates assessments, and providing intelligence briefings as requested....",Senior Intelligence Analyst,Other
585,BOEING,"Washington, DC",Not available,"All source analysis, full motion video (FMV) analysis, human intelligence (HUMINT), signals intelligence (SIGINT), imagery intelligence (IMINT), measurement and...",Intelligence Analyst,Other
587,CB Insights,"New York, NY",Not available,You should feel comfortable speaking to Fortune 500 clients/prospects as an authority on the business and the category....,"Senior Intelligence Analyst, Fintech",Other
597,Kaplan Test Prep,Remote,Not available,"Minimum 3 years of data science, business intelligence, or financial modeling and analysis. The Senior Analyst will apply advanced analytical skills like...",Senior Analyst,Other
598,Tableau,"Seattle, WA 98107 (Ballard area)",Not available,"After a highly successful IPO in 2013, Tableau has become a market-defining company in the business intelligence industry....",Financial Analyst,Other
604,SAIC,"Fort Hood, TX",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Hood...",Other
605,Fulcrum Co.,"Honolulu, HI",Not available,Fulcrum is seeking a SOJ2 Intelligence Analyst to support our customer. Prepare intelligence products for weekly intelligence administrative and operational...,SOJ2 Intelligence Analyst,Other
609,Booz Allen Hamilton,"Buckley AFB, CO",Not available,"Fusion Intelligence Analyst, Mid. At Booz Allen, we know the power of analytics and intelligence. State-of-the-art technology –Broaden your intelligence...","Fusion Intelligence Analyst, Mid",Other
615,Northwell Health,"New Hyde Park, NY 11042",Not available,"Bachelor's Degree in Business Administration, Computer Science, Finance or related field, required. The Workforce/Business Analyst analyzes, implements and...","Analyst, Workforce Intelligence",Other
617,Nintendo of America Inc.,"Redmond, WA",Not available,"Experience in analytical insights or business intelligence processes. Work with team leadership and business owners to define goals, metrics and guide decisions...",CONTRACT - BI Reporting Analyst,Other
618,"Storage Strategies, Inc.","Fort Belvoir, VA",Not available,SSI is seeking an Intel Analyst in support of a US Army client to develop all-source intelligence products focused on national users on topics of Cyber...,﻿Intelligence Analyst,Other
619,Mayzo Inc.,"Johns Creek, GA",Not available,"The Market Intelligence Analyst will develop and execute a global market and competitive intelligence program, delivering insightful, actionable and timely...",Market Intelligence Analyst,Other
623,US Department of the Army,"Charlottesville, VA","$121,280 - $157,663 a year","Intelligence Production Process. Knowledge of intelligence processes, cycle and organizations; Current Army Defense Civilian Intelligence Personnel System...",Intelligence Specialist (S&T Analyst),Other
624,RedShelf,"Chicago, IL 60654 (Loop area)",Not available,The Business Intelligence Analyst is responsible for providing the data and reporting necessary for intelligent decision making....,BI Analyst,Other
625,Compass Group,"San Francisco, CA 94158 (South Of Market area)",Not available,"For this role, we’re looking for an individual with a medium level of experience to join our Data Intelligence team focused on business intelligence, data...","E15 ANALYST, SAN FRANCISCO,CA",Other
626,BOEING,"Suitland, MD",Not available,"All source analysis, full motion video (FMV) analysis, human intelligence (HUMINT), signals intelligence (SIGINT), imagery intelligence (IMINT), measurement and...",Intelligence Analyst - USCG,Other
631,LIS Solutions,"Brooklyn, NY","$96,000 a year","USAF - 1N051All Source Intelligence Analyst,1N771 Human Intelligence Specialist, 1N451B Intelligence Fusion Analyst....",Mid-Level All-source OSINT Focus Intelligence Analyst (Job i...,Other
632,SAIC,"Honolulu, HI",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Shaf...",Other
634,Booz Allen Hamilton,"San Antonio, TX 78205 (Downtown area)",Not available,"Intelligence Analyst, Senior. Experience as an all source analyst preparing intelligence products and synthesizing intelligence from multiple sources....","Intelligence Analyst, Senior",Other
639,SEI,"Oaks, PA",Not available,"Seeking an individual with a genuine interest in an innovative, aggressive, high-growth business which provides clients with strategic retirement & fund...",Reporting Analyst,Other
644,Shields Health Care Group,"Quincy, MA",Not available,The incumbent will work closely with the Senior Business Intelligence Architect and the Business BI Project Lead....,BI Analyst,Other
648,University of Baltimore,"Baltimore, MD 21201 (Downtown area)","$75,000 - $90,000 a year","The Intelligence Analyst - Gangs directly supports the Gang Analysis Branch, by identifying, creating and sharing relevant and actionable gang intelligence...",Intelligence Analyst - Gangs,Other
652,SOSi,United States,Not available,"All-Source Analyst - Hostile Intelligence and Violent Extremist Analyst. In addition to the above All-Source Analyst skills, at a minimum, Hostile Intelligence...",All-Source Analyst - Hostile Intelligence and Violent Extrem...,Other
654,Asymmetrik,"Annapolis Junction, MD 20701",Not available,"All source analysis, signals intelligence (SIGINT), open-source intelligence (OSINT)). You have 3-7 years of experience in an intelligence discipline or related...",Mid Open Source Intelligence Analyst,Other
655,Spigot Inc.,"Fort Myers, FL",Not available,The Business Intelligence Analyst will be responsible for completing profit-driven analysis to provide recommendations on how to increase profits and efficiency...,BI Analyst,Other
664,UPMC,"Pittsburgh, PA 15219 (Middle Hill area)",Not available,"(1) market research (2) experience using quantitative, business intelligence and/or relational database. Provide analytical expertise in the development and...",Senior Strategy Analyst,Other
671,U.S. Army and Army Reserve,"Lakeville, MN",Not available,"As an intelligence analyst in the U.S. Preparing maps, charts, and intelligence reports. Prepare all-source intelligence products to support the combat...",Intelligence Analyst (Will Train),Other
672,XPO Logistics,"Greenwich, CT 06831",Not available,Continuously improve research and analytical capability by discovering new outlets and channels for business intelligence....,"Analyst, Office of the Chairman & CEO",Other
677,CACI,"Reston, VA 20190",Not available,"As required, you will interact directly with the deployed intelligence consumer during the development of intelligence products to meet unit and subordinate...","Intelligence Analyst, JAST",Other
678,Northwell Health,"New Hyde Park, NY 11042",Not available,"Bachelor's Degree in Business Administration, Computer Science, Finance or related field, required. The Workforce/Business Analyst analyzes, implements and...","Sr. Analyst, Workforce Intelligence",Other
689,BBVA Compass,"Birmingham, AL",Not available,Experience on the use of various business systems to extract meaningful data and perform appropriate analysis to provide business insights is desired....,Cust Intelligence Analyst Iii,Other
691,Northrop Grumman,United States,Not available,Candidate will collect data using a combination of standard intelligence methods and business processes. Current and working knowledge of the Intelligence...,Intelligence Analyst 3- ACTIVE POLY REQUIRED,Other
694,"Calhoun International, LLC","Charlottesville, VA 22911",Not available,10 years minimum experience as a Senior All-Source Intelligence Analyst. 10 years of experience as a Senior Analyst on US Army or DoD programs and projects that...,Senior Intelligence Analyst for Irregular Warfare,Other
698,GlaxoSmithKline,"Philadelphia, PA",Not available,"Experience with business intelligence toolsets. Effective use of business improvement skills (ADP, Six Sigma)....",Sr. Reporting Analyst - Navy Yard,Other
700,TripAdvisor,"Needham, MA 02494",Not available,Deep experience with Tableau (or similar Business Intelligence tools). 3-5 years’ experience as a Business Analyst for an online consumer transactional business...,"Senior Analyst, Hotels",Other
701,IntelliWare Systems,"Washington, DC",Not available,IntelliWare is an award-winning national security company with an immediate opening for an experienced Intelligence Analyst to support a federal law enforcement...,Intelligence Analyst - Criminal,Other
704,Comcast,"Philadelphia, PA 19103",Not available,"Plans and executes multiple projects involving all aspects of business intelligence solutions and data, including business intelligence analysis and data...","Analyst, Paid Content Insights",Other
706,Red Gate Group LTD,"Reston, VA 20191",Not available,"Intelligence Analyst (JAST). As required, you will interact directly with the deployed intelligence consumer during the development of intelligence products to...",Intelligence Analyst (JAST),Other
711,Fulcrum Co.,"Honolulu, HI",Not available,"Work in tandem with the Joint Intelligence Control Element (JISE), USPACOM Joint Intelligence Operations Center (JIOC) and USSOCOM to de-conflict intelligence...",Intelligence Analyst - Russia,Other
712,ADP,"Norfolk, VA 23510",Not available,Strong Business Intelligence and Business Analytics experience. ADP powers the working world with comprehensive solutions that drive business success....,Senior Reporting Analyst,Other
715,eBay Inc.,"San Jose, CA",Not available,"The role will w ork with a wide variety of business leaders, product teams, solutions managers and other stakeholders across the organization to help translate...",Strategy Analyst,Other
723,Pueo Business Solutions,"Charlottesville, VA","$60,000 - $75,000 a year","Experience with intelligence automated systems, especially imagery analysis, signals intelligence and exploitation tools and libraries....",All Source Analyst--Biometric and Identity Intelligence,Other
727,"K2 Group, Inc.","Fayetteville, NC",Not available,"PAI Analyst are responsible for researching, developing, and presenting PAI intelligence products at the tactical and operational....",Mid-Level Publicly Available Information (PAI) Intelligence...,Other
733,LinQuest Corporation,"Arlington, VA 22202 (Aurora Highlands area)",Not available,We are seeking an Intelligence Analyst with 5-6 years of all source intelligence analysis experience with an ability to put new ideas and concepts into action....,"Intelligence Analyst, #3647",Other
734,Advantage SCI,"Washington, DC",Not available,Knowledge of Intelligence Analysis. This is a great opportunity for someone entering into the intelligence field to provide your services and expand your...,Intelligence Analyst I,Other
736,Hyatt,"Chicago, IL",Not available,Data analytics capabilities – familiarity with business intelligence tools. ANALYST – WORLD OF HYATT. This role will proactively identify trends and business...,Analyst – World of Hyatt,Other
737,ADIKTEEV,"San Francisco, CA",Not available,"Excellent communication (oral & written) skills, business understanding. Run ad-hoc analyses to improve our value proposition, business model and internal...",Senior BI Analyst,Other
739,Eaton,"Southern Pines, NC 28387",Not available,"The Global Demand Analyst is responsible for developing a rolling 18 month unit and revenue demand forecast incorporating business intelligence, sell-through...",Golf Pride Global Demand Analyst,Other
741,Virginia Department of Emergency Management,"Chesterfield, VA","$48,000 - $60,000 a year","Compiling research information and conducting analysis for intelligence reports and bulletins for projects relative to terrorist and/or criminal activity,...",GIS Intelligence Analyst,Other
743,"Saint Thomas Health, TN","Nashville, TN",Not available,"Experience using business intelligence and visualization software. Bachelor's degree with major in business, finance and/or related experience....",Strategy Analyst,Other
744,QUICK SERVICES LLC,"Fayetteville, NC 28307",Not available,"PAI Analyst are responsible for researching , developing , and presenting PAI intelligence products at the tactical and operational....","Senior- Publicly Available Information (PAI) ""OSINT"" Intelli...",Other
747,"IPSecure, Inc.","Fort Meade, MD 20755",Not available,"Intelligence Systems Analyst- Principal - Secret Clearance Required!!!! IPSecure is looking for an Intelligence Systems Analyst-Principal at Fort Meade,...",Intelligence Systems Analyst,Other
755,Slalom Consulting,"Seattle, WA 98104 (First Hill area)",Not available,"You are an experienced business analyst with a knack for developing creative solutions. Our fast-paced, highly collaborative internal IT team is seeking an...",BI Analyst,Other
762,Commvault,"Tinton Falls, NJ",Not available,"Experience in Reporting data to stakeholders using Business Intelligence tools is a plus (Power BI, Tableau, etc)....",Operations Analyst,Other
766,Lark Technologies,"Mountain View, CA",Not available,"Build and lead Lark’s competitive intelligence efforts. All employment is decided on the basis of qualifications, merit, and business need....",Competitive Intelligence Analyst,Other
770,MGM Resorts International,"Las Vegas, NV",Not available,"The Product Management Analyst is responsible for assisting in the creation of, and documenting, comprehensive project plans within Enterprise Analytics (EA)...",Analyst – Product Management (Corporate),Other
778,Businesses Pratt & Whitney,"East Hartford, CT",Not available,Leading Fleet review process across the CE business to develop business intelligence about customer fleet plans. Bachelor's in Business or Engineering....,GLOBAL ENGINE LEASING STRATEGY ANALYST,Other
779,BMO Financial Group,"Chicago, IL",Not available,Business Performance Management.  Business process analysis skills.  Math or Engineering or Business degree (e.g....,Reporting Analyst,Other
780,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",Not available,"Minimum 3 years of experience with business intelligence tools and systems, and relational database technology....",Financial BI Technical Analyst,Other
781,Streamline Defense,"Charlottesville, VA 22911","$73,000 - $75,000 a year","Intelligence Analyst (Level II). 5 years minimum experience as an All-Source Intelligence Analyst. Defense, intelligence, and Special Operations communities....",Intelligence Analyst (Level II),Other
785,Gartner,"Stamford, CT 06902 (Downtown area)",Not available,Ability to synthesis and translate complex technical aspects into business terms and define from business objectives and constraints complex technical solutions...,Product Analyst,Other
786,Basic American Foods,"Walnut Creek, CA 94597",Not available,"We supply essential and innovative food to America and beyond and are in the early stages of transforming our business from a slow-moving, mature business to an...",BI Analyst,Other
788,Valiant Integrated Services,"Suffolk, VA",Not available,"Must have knowledge of the intelligence cycle, intelligence sources and methods, and the Intelligence Community (IC)....",Analyst Intelligence,Other
789,SAIC,"Fort Meade, MD",Not available,"Intelligence Analyst, Associate SAIC has an exciting new opportunity for an Associate All- source Intelligence Analyst at Fort Meade, MD with the technical...",Intelligence All-source Analyst - Associate,Other
791,LIS Solutions,"Fort Belvoir, VA","$96,000 a year","USAF - 1N051All Source Intelligence Analyst,1N771 Human Intelligence Specialist, 1N451B Intelligence Fusion Analyst. 0231 Intelligence Specialist, U.S....",Mid-Level All-source OSINT Focus Intelligence Analyst,Other
792,Satair,"Ashburn, VA 20147",Not available,"Advanced degree in Business Analytics, Business Intelligence, Data Analytics or a related field preferred. Business opportunities derived from data solutions....",Global Commercial Analyst,Other
796,General Dynamics Information Technology,"Arlington, VA 22201 (Lyon Village area)",Not available,"Seeking a Intelligence Associate Analyst to join our team in Arlington, VA. Daily responsibilities of the Intelligence Associate Analyst include researching...",Associate Intelligence Analyst - Active Secret or TS clearan...,Other
806,Amazon.com,"Seattle, WA",Not available,Intelligence Community agencies implement innovative cloud computing solutions and solve technical problems? Have you ever thought about helping U.S....,AWS Intelligence Initiative Systems Analyst,Other
812,Oncorre,"Bridgewater, NJ 08807",Not available,Perform requirements gathering & technical specifications of requirements; be involved in deployment process as well as design & development; develop BI...,BI Analyst,Other
814,Booz Allen Hamilton,"Wright-Patterson AFB, OH",Not available,All-Source Intelligence and Operations Analyst. Document intelligence assessments adhering to intelligence community writing style and proper standards....,All-Source Intelligence and Operations Analyst,Other
815,Vancro Incorporated,"Reston, VA",Not available,"As required, you will interact directly with the deployed intelligence consumer during the development of intelligence products to meet unit and subordinate...","JIDO Intelligence Analyst, JAST",Other
816,Chenega Corporation,"Fort Meade, MD",Not available,"The Intelligence Analyst will apply a thorough understanding of the intelligence cycle to compile, research, collate, analyze, and evaluate SIGINT Intelligence...",Intelligence Analyst,Other
822,Associated Bank,"Green Bay, WI",Not available,"Under supervision and guidance, the Corporate Risk Intelligence Analyst:. Other Business Requirements. Acts as a liaison between technology and Corporate Risk...",Corporate Risk Intelligence Analyst,Other
823,TechINT Solutions Group (TSG),"Aberdeen Proving Ground, MD",Not available,8 years of intelligence analyst experience OR. High School diploma with 12+ years intelligence analyst experience....,Weapons Technical Intelligence Analyst,Other
824,Social Media Information,"Pittsburgh, PA 15212","$35,000 a year",SMI is hiring a full-time entry-level analyst to work in our Pittsburgh office. Must have advanced understanding of how to use social media and open-source...,Open Source Intelligence Investigative Analyst,Other
830,Capital One,"McLean, VA 22107",Not available,"Senior Analyst, Market Intelligence. The Senior Business Analyst will work collaboratively with Strategy team members as well as business teams in developing...","Senior Analyst, Market Intelligence",Other
833,QUICK SERVICES LLC,United States,Not available,Senior Intelligence Analyst. Five years at the strategic level as a South West Asia Foreign Area Officer qualifies for the Senior Intelligence Analyst position....,Senior Intelligence Analyst,Other
841,Northrop Grumman,"Fort Leavenworth, KS 66027",Not available,Candidate should have recent Army Intelligence experience. The Military Intelligence Analyst collects and manages data pertaining to military warfighting...,OG B Military Intelligence Analyst,Other
842,AlphaSense,"New York, NY",Not available,"The Market Intelligence Analyst has strong organizational skills and a honed ability to uncover actionable, data-driven insights....",Market Intelligence Analyst,Other
848,Aspect Consulting,"King of Prussia, PA 19406",Not available,"The Business Intelligence Analyst reports directly to the Assistant Registrar for Student Information Systems and Analytics, and works closely with the Systems...",BI Analyst,Other
849,John Hancock,"Boston, MA",Not available,"Reporting to the Director, Business Intelligence, the Business Analyst - Reporting is responsible for designing business intelligence and reporting solutions...",Reporting Analyst,Other
851,The Ohio State University,"Columbus, OH",Not available,"This IT Intermediate BI Administrator/Developer position (Data Engineer) will help realize the design and build ETL, ELT, and other data movement processes for...",Int Data Movement/ETLDeveloper,Other
854,General Dynamics Information Technology,"Suffolk, VA 23435",Not available,"Simulates tasking, reporting, and dissemination of intelligence from national intelligence collection assets. Validate the intelligence modeling and simulation...","Intelligence Analyst - Suffolk, VA - TS",Other
859,South Jersey Industries,"Atlantic City, NJ",Not available,"Bachelor’s Degree in quantitative, business or computer-related field. We take pride in recruiting the best talent available for every facet of our business....",Metrics & Reporting Analyst,Other
862,Bitly,"San Francisco, CA",Not available,"3-5 years of analytical experience in business intelligence, sales or business operations, management consulting, investment banking, or corporate strategy....",SENIOR STRATEGY ANALYST,Other
863,Uber,"Seattle, WA 98101 (Downtown area)",Not available,Provide written Threat Intelligence briefs to executives and business leaders. Produce threat intelligence and threat indicator feeds through intelligence...,Senior Threat Intelligence Analyst,Other
864,SAIC,"Fort Polk South, LA",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Polk...",Other
